country,continent,number 
India,Asia,"600,000"
Myanmar,Asia,"400,000"
Saudi Arabia,Middle East,"215,000"
Malaysia,Asia,"125,000"
South Korea,Asia,"80,000"
Hong Kong,Asia,"73,000"
Qatar,Middle East,"70,000"
United Arab Emirates,Middle East,"70,000"
Thailand,Asia,"20,000"
Japan,Asia,"12,000"
Kuwait,Middle East,"12,000"
USA / Canada / Mexico,North America,"10,000"
Australia,Oceania,"8,000"
UK,Europe,"7,000"
Singapore,Asia,"5,000"
Oman,Middle East,"5,000"
Germany,Europe,"4,000"
Bahrain,Middle East,"3,000"
France,Europe,"2,000"
Belgium,Europe,"2,000"
South Africa,Africa,"2,000"
China,Asia,"2,000"
Bangladesh,Asia,1000
Russia,Asia,1000
Bhutan,Asia,1000
Pakistan,Asia,1000
Netherlands,Europe,1000
Portugal,Europe,1000
Philippines,Asia,1000
Spain,Europe,500
Maldives,Asia,400
Sri Lanka,Asia,200